activity_date,consultant_id,market,action,client_id,count
2019-11-15,U001,IT & Data,call,,6
2019-11-15,U001,IT & Data,connect,,1
2019-11-15,U001,IT & Data,email,,8
2019-12-15,U001,IT & Data,call,,4
2019-12-15,U001,IT & Data,email,,5
2019-09-15,U002,Renewables,call,,6
2019-09-15,U002,Renewables,connect,,1
2019-09-15,U002,Renewables,email,,8
2019-10-15,U002,Renewables,call,,5
2019-10-15,U002,Renewables,connect,,1
2019-10-15,U002,Renewables,email,,7
2019-11-15,U002,Renewables,call,,8
2019-11-15,U002,Renewables,connect,,1
2019-11-15,U002,Renewables,email,,11
2019-12-15,U002,Renewables,call,,5
2019-12-15,U002,Renewables,connect,,1
2019-12-15,U002,Renewables,email,,7
2019-07-15,U003,IT & Data,call,,8
2019-07-15,U003,IT & Data,connect,,2
2019-07-15,U003,IT & Data,email,,11
2019-08-15,U003,IT & Data,call,,2
2019-08-15,U003,IT & Data,email,,2
2019-09-15,U003,IT & Data,call,,3
2019-09-15,U003,IT & Data,email,,4
2019-10-15,U003,IT & Data,call,,6
2019-10-15,U003,IT & Data,connect,,1
2019-10-15,U003,IT & Data,email,,8
2019-11-15,U003,IT & Data,call,,6
2019-11-15,U003,IT & Data,connect,,1
2019-11-15,U003,IT & Data,email,,8
2019-12-15,U003,IT & Data,call,,4
2019-12-15,U003,IT & Data,email,,5
2019-09-15,U004,IT & Data,call,,6
2019-09-15,U004,IT & Data,connect,,1
2019-09-15,U004,IT & Data,email,,8
2019-10-15,U004,IT & Data,call,,6
2019-10-15,U004,IT & Data,connect,,1
2019-10-15,U004,IT & Data,email,,8
2019-11-15,U004,IT & Data,call,,5
2019-11-15,U004,IT & Data,email,,7
2019-12-15,U004,IT & Data,call,,3
2019-12-15,U004,IT & Data,email,,4
2019-01-15,U007,Engineering,call,,129
2019-01-15,U007,Engineering,connect,,29
2019-01-15,U007,Engineering,email,,180
2019-01-15,U007,Engineering,client_meeting,,6
2019-02-15,U007,Engineering,call,,112
2019-02-15,U007,Engineering,connect,,35
2019-02-15,U007,Engineering,email,,156
2019-02-15,U007,Engineering,client_meeting,,8
2019-03-15,U007,Engineering,call,,155
2019-03-15,U007,Engineering,connect,,45
2019-03-15,U007,Engineering,email,,217
2019-03-15,U007,Engineering,client_meeting,,8
2019-04-15,U007,Engineering,call,,87
2019-04-15,U007,Engineering,connect,,25
2019-04-15,U007,Engineering,email,,121
2019-04-15,U007,Engineering,client_meeting,,3
2019-05-15,U007,Engineering,call,,215
2019-05-15,U007,Engineering,connect,,55
2019-05-15,U007,Engineering,email,,301
2019-05-15,U007,Engineering,client_meeting,,11
2019-06-15,U007,Engineering,call,,104
2019-06-15,U007,Engineering,connect,,24
2019-06-15,U007,Engineering,email,,145
2019-06-15,U007,Engineering,client_meeting,,3
2019-07-15,U007,Engineering,call,,176
2019-07-15,U007,Engineering,connect,,43
2019-07-15,U007,Engineering,email,,246
2019-07-15,U007,Engineering,client_meeting,,10
2019-08-15,U007,Engineering,call,,68
2019-08-15,U007,Engineering,connect,,15
2019-08-15,U007,Engineering,email,,95
2019-08-15,U007,Engineering,client_meeting,,1
2019-09-15,U007,Engineering,call,,119
2019-09-15,U007,Engineering,connect,,25
2019-09-15,U007,Engineering,email,,166
2019-09-15,U007,Engineering,client_meeting,,3
2019-10-15,U007,Engineering,call,,166
2019-10-15,U007,Engineering,connect,,32
2019-10-15,U007,Engineering,email,,232
2019-10-15,U007,Engineering,client_meeting,,6
2019-11-15,U007,Engineering,call,,130
2019-11-15,U007,Engineering,connect,,24
2019-11-15,U007,Engineering,email,,182
2019-11-15,U007,Engineering,client_meeting,,3
2019-12-15,U007,Engineering,call,,112
2019-12-15,U007,Engineering,connect,,32
2019-12-15,U007,Engineering,email,,156
2019-12-15,U007,Engineering,client_meeting,,5
2019-11-15,U010,Life Sciences,call,,2
2019-11-15,U010,Life Sciences,email,,2
2019-12-15,U010,Life Sciences,call,,1
2019-12-15,U010,Life Sciences,email,,1
2019-01-15,U011,Life Sciences,call,,95
2019-01-15,U011,Life Sciences,connect,,22
2019-01-15,U011,Life Sciences,email,,133
