placement_id,job_id,submission_id,client_id,consultant_id,market,start_date,gp,placement_type,fell_off
P00001,J00002,S000005,C007,U002,Renewables,2019-11-05,31650.65,perm,false
P00002,J00006,S000017,C046,U007,Engineering,2019-09-09,20383.96,perm,false
P00003,J00007,S000020,C016,U007,Engineering,2019-07-20,11203.85,contract,false
P00004,J00011,S000030,C019,U007,Engineering,2019-12-31,21112.87,perm,false
P00005,J00025,S000071,C060,U007,Engineering,2019-10-12,10735.20,contract,true
P00006,J00026,S000073,C009,U007,Engineering,2019-07-14,17464.16,perm,false
P00007,J00032,S000078,C029,U011,Life Sciences,2019-09-25,16294.13,contract,false
P00008,J00033,S000080,C064,U011,Life Sciences,2019-09-19,27098.73,perm,false
P00009,J00034,S000085,C057,U011,Life Sciences,2019-05-14,10665.69,contract,false
P00010,J00036,S000095,C053,U011,Life Sciences,2020-04-29,22582.41,perm,false
P00011,J00039,S000105,C034,U011,Life Sciences,2019-07-04,29548.21,perm,false
P00012,J00045,S000121,C053,U011,Life Sciences,2019-10-07,27229.65,perm,false
P00013,J00047,S000128,C001,U014,IT & Data,2019-08-15,17191.14,contract,false
P00014,J00048,S000133,C052,U014,IT & Data,2019-03-12,13846.09,perm,false
P00015,J00057,S000158,C065,U014,IT & Data,2019-11-27,9197.01,perm,false
P00016,J00058,S000162,C065,U014,IT & Data,2019-04-09,15420.73,perm,true
P00017,J00065,S000176,C040,U014,IT & Data,2020-01-12,13011.07,contract,false
P00018,J00066,S000179,C038,U014,IT & Data,2019-08-09,5191.27,contract,false
P00019,J00075,S000202,C032,U014,IT & Data,2019-12-19,12200.82,contract,false
P00020,J00082,S000231,C065,U014,IT & Data,2020-03-13,23135.26,perm,false
P00021,J00098,S000269,C023,U015,Engineering,2020-01-13,8436.92,perm,false
P00022,J00099,S000275,C010,U015,Engineering,2019-08-25,10154.13,contract,false
P00023,J00105,S000290,C046,U015,Engineering,2019-10-23,12058.73,perm,false
P00024,J00108,S000300,C046,U015,Engineering,2019-07-14,14710.25,perm,false
P00025,J00113,S000312,C043,U016,IT & Data,2019-05-07,27064.47,perm,false
P00026,J00118,S000326,C065,U016,IT & Data,2020-02-02,27375.65,perm,false
P00027,J00123,S000336,C038,U016,IT & Data,2019-05-11,25531.53,perm,false
P00028,J00133,S000356,C065,U016,IT & Data,2020-01-30,18147.34,perm,false
P00029,J00163,S000445,C037,U001,IT & Data,2021-01-24,17583.55,perm,false
P00030,J00168,S000458,C013,U001,IT & Data,2020-06-16,17536.66,contract,false
P00031,J00175,S000469,C033,U002,Renewables,2021-02-08,16914.15,perm,false
P00032,J00178,S000476,C042,U002,Renewables,2021-01-17,9195.51,contract,false
P00033,J00180,S000484,C062,U002,Renewables,2020-04-19,23009.45,contract,false
P00034,J00187,S000498,C058,U003,IT & Data,2021-04-19,14593.35,contract,false
P00035,J00197,S000523,C049,U003,IT & Data,2020-04-16,24299.74,perm,false
P00036,J00199,S000530,C054,U003,IT & Data,2021-01-01,15014.62,perm,false
P00037,J00203,S000537,C065,U004,IT & Data,2020-04-12,12937.69,perm,false
P00038,J00205,S000540,C065,U004,IT & Data,2021-01-08,25577.07,perm,false
P00039,J00207,S000548,C054,U004,IT & Data,2020-08-11,20255.78,perm,true
P00040,J00213,S000569,C008,U004,IT & Data,2021-02-15,18636.29,contract,false
P00041,J00216,S000580,C043,U004,IT & Data,2020-09-07,20215.37,perm,false
P00042,J00219,S000584,C005,U004,IT & Data,2020-05-06,22967.11,perm,false
P00043,J00220,S000585,C005,U004,IT & Data,2020-10-15,21484.70,contract,false
P00044,J00233,S000624,C056,U007,Engineering,2020-10-05,21528.79,perm,false
P00045,J00238,S000634,C046,U007,Engineering,2020-04-23,13554.08,perm,false
P00046,J00243,S000649,C048,U010,Life Sciences,2021-01-14,25424.84,perm,false
P00047,J00244,S000652,C048,U010,Life Sciences,2020-06-10,30524.95,perm,false
P00048,J00250,S000669,C034,U010,Life Sciences,2020-04-21,28334.25,perm,false
P00049,J00252,S000674,C039,U010,Life Sciences,2020-06-18,17240.70,perm,false
P00050,J00253,S000677,C048,U010,Life Sciences,2020-05-02,20719.02,perm,false
P00051,J00254,S000679,C039,U010,Life Sciences,2020-10-12,18274.15,perm,false
P00052,J00256,S000686,C012,U010,Life Sciences,2020-11-10,15005.49,contract,false
P00053,J00259,S000699,C012,U011,Life Sciences,2020-10-12,27389.38,perm,false
P00054,J00260,S000702,C069,U011,Life Sciences,2021-03-13,18593.90,perm,false
P00055,J00263,S000712,C069,U011,Life Sciences,2020-11-07,26214.27,perm,false
P00056,J00264,S000716,C064,U011,Life Sciences,2021-01-29,35702.19,perm,false
P00057,J00265,S000719,C044,U011,Life Sciences,2021-02-04,31810.00,perm,false
P00058,J00266,S000721,C012,U011,Life Sciences,2020-11-12,19844.07,contract,false
P00059,J00273,S000737,C039,U011,Life Sciences,2021-03-11,11456.66,contract,false
P00060,J00274,S000741,C052,U014,IT & Data,2020-11-14,9222.26,perm,true
P00061,J00276,S000751,C006,U014,IT & Data,2021-01-13,15191.07,perm,false
P00062,J00280,S000761,C058,U014,IT & Data,2020-08-18,21869.07,perm,false
P00063,J00281,S000769,C065,U014,IT & Data,2020-07-02,21353.21,contract,false
P00064,J00282,S000772,C052,U014,IT & Data,2020-12-29,10940.53,perm,false
P00065,J00295,S000804,C016,U015,Engineering,2021-01-09,12515.36,perm,false
P00066,J00304,S000823,C019,U015,Engineering,2020-07-12,24197.68,perm,false
P00067,J00312,S000859,C014,U015,Engineering,2021-04-02,23703.69,perm,true
P00068,J00313,S000864,C016,U015,Engineering,2020-10-20,16240.31,contract,true
P00069,J00314,S000867,C019,U015,Engineering,2021-01-08,26284.54,perm,false
P00070,J00324,S000896,C058,U016,IT & Data,2020-07-16,9528.21,contract,false
P00071,J00327,S000908,C005,U016,IT & Data,2021-01-30,17484.04,perm,false
P00072,J00335,S000927,C018,U017,Public Sector,2020-05-20,7291.25,perm,false
P00073,J00345,S000959,C018,U021,Public Sector,2020-09-10,9610.66,perm,false
P00074,J00354,S000990,C054,U001,IT & Data,2021-07-24,19496.06,contract,false
P00075,J00360,S001007,C028,U001,IT & Data,2021-07-24,10953.10,contract,false
