submission_id,job_id,candidate_id,client_id,consultant_id,market,stage,event_date,placement_type
S000001,J00001,K029020,C005,U001,IT & Data,Internally Submitted,2019-02-02,contract
S000001,J00001,K029020,C005,U001,IT & Data,Client Submission,2019-02-05,contract
S000002,J00001,K025331,C005,U001,IT & Data,Internally Submitted,2019-02-12,contract
S000002,J00001,K025331,C005,U001,IT & Data,Client Submission,2019-02-17,contract
S000003,J00002,K027940,C007,U002,Renewables,Internally Submitted,2019-07-30,perm
S000003,J00002,K027940,C007,U002,Renewables,Client Submission,2019-08-04,perm
S000003,J00002,K027940,C007,U002,Renewables,1st Interview,2019-08-26,perm
S000004,J00002,K016078,C007,U002,Renewables,Internally Submitted,2019-07-23,perm
S000004,J00002,K016078,C007,U002,Renewables,Client Submission,2019-07-27,perm
S000005,J00002,K027852,C007,U002,Renewables,Internally Submitted,2019-08-06,perm
S000005,J00002,K027852,C007,U002,Renewables,Client Submission,2019-08-10,perm
S000005,J00002,K027852,C007,U002,Renewables,1st Interview,2019-09-01,perm
S000005,J00002,K027852,C007,U002,Renewables,2nd Interview,2019-09-14,perm
S000005,J00002,K027852,C007,U002,Renewables,Offer,2019-09-16,perm
S000005,J00002,K027852,C007,U002,Renewables,Placed,2019-11-05,perm
S000006,J00002,K035396,C007,U002,Renewables,Internally Submitted,2019-08-09,perm
S000006,J00002,K035396,C007,U002,Renewables,Client Submission,2019-08-14,perm
S000006,J00002,K035396,C007,U002,Renewables,1st Interview,2019-08-31,perm
S000006,J00002,K035396,C007,U002,Renewables,2nd Interview,2019-09-19,perm
S000007,J00003,K025491,C028,U003,IT & Data,Internally Submitted,2019-10-24,perm
S000007,J00003,K025491,C028,U003,IT & Data,Client Submission,2019-10-27,perm
S000008,J00004,K025292,C008,U004,IT & Data,Internally Submitted,2019-10-01,contract
S000008,J00004,K025292,C008,U004,IT & Data,Client Submission,2019-10-04,contract
S000009,J00004,K034513,C008,U004,IT & Data,Internally Submitted,2019-10-30,contract
S000009,J00004,K034513,C008,U004,IT & Data,Client Submission,2019-11-02,contract
S000010,J00004,K006058,C008,U004,IT & Data,Internally Submitted,2019-10-08,contract
S000010,J00004,K006058,C008,U004,IT & Data,Client Submission,2019-10-11,contract
S000011,J00005,K006012,C010,U007,Engineering,Internally Submitted,2019-10-19,perm
S000011,J00005,K006012,C010,U007,Engineering,Client Submission,2019-10-22,perm
S000011,J00005,K006012,C010,U007,Engineering,1st Interview,2019-10-29,perm
S000011,J00005,K006012,C010,U007,Engineering,2nd Interview,2019-11-13,perm
S000012,J00005,K028684,C010,U007,Engineering,Internally Submitted,2019-10-24,perm
S000012,J00005,K028684,C010,U007,Engineering,Client Submission,2019-10-28,perm
S000013,J00005,K004568,C010,U007,Engineering,Internally Submitted,2019-11-19,perm
S000013,J00005,K004568,C010,U007,Engineering,Client Submission,2019-11-22,perm
S000014,J00005,K032440,C010,U007,Engineering,Internally Submitted,2019-11-20,perm
S000014,J00005,K032440,C010,U007,Engineering,Client Submission,2019-11-24,perm
S000015,J00006,K003144,C046,U007,Engineering,Internally Submitted,2019-05-29,perm
S000015,J00006,K003144,C046,U007,Engineering,Client Submission,2019-06-01,perm
S000016,J00006,K037817,C046,U007,Engineering,Internally Submitted,2019-05-29,perm
S000016,J00006,K037817,C046,U007,Engineering,Client Submission,2019-06-03,perm
S000017,J00006,K032943,C046,U007,Engineering,Internally Submitted,2019-06-22,perm
S000017,J00006,K032943,C046,U007,Engineering,Client Submission,2019-06-23,perm
S000017,J00006,K032943,C046,U007,Engineering,1st Interview,2019-07-19,perm
S000017,J00006,K032943,C046,U007,Engineering,2nd Interview,2019-07-26,perm
S000017,J00006,K032943,C046,U007,Engineering,Offer,2019-08-15,perm
S000017,J00006,K032943,C046,U007,Engineering,Placed,2019-09-09,perm
S000018,J00007,K033151,C016,U007,Engineering,Internally Submitted,2019-05-06,contract
S000018,J00007,K033151,C016,U007,Engineering,Client Submission,2019-05-09,contract
S000019,J00007,K019605,C016,U007,Engineering,Internally Submitted,2019-05-06,contract
S000019,J00007,K019605,C016,U007,Engineering,Client Submission,2019-05-11,contract
S000019,J00007,K019605,C016,U007,Engineering,1st Interview,2019-05-28,contract
S000020,J00007,K007140,C016,U007,Engineering,Internally Submitted,2019-05-15,contract
S000020,J00007,K007140,C016,U007,Engineering,Client Submission,2019-05-16,contract
S000020,J00007,K007140,C016,U007,Engineering,1st Interview,2019-05-28,contract
S000020,J00007,K007140,C016,U007,Engineering,2nd Interview,2019-06-15,contract
S000020,J00007,K007140,C016,U007,Engineering,Offer,2019-06-15,contract
S000020,J00007,K007140,C016,U007,Engineering,Placed,2019-07-20,contract
S000021,J00008,K007074,C016,U007,Engineering,Internally Submitted,2019-10-18,perm
S000021,J00008,K007074,C016,U007,Engineering,Client Submission,2019-10-23,perm
S000022,J00008,K017702,C016,U007,Engineering,Internally Submitted,2019-11-15,perm
S000022,J00008,K017702,C016,U007,Engineering,Client Submission,2019-11-16,perm
S000023,J00008,K014510,C016,U007,Engineering,Internally Submitted,2019-11-21,perm
S000023,J00008,K014510,C016,U007,Engineering,Client Submission,2019-11-25,perm
